,id,tabuleiro,size,numero_regioes,tamanho_medio_regiao,dificuldade,dicas,tempo,nos_visitados,profundidade_maxima,total_podas,backtracks,resolvido,assign_from_singletons,hidden_single,naked_pairs,hidden_pairs,naked_triples,hidden_triples
8x8_Suguru-1513,Suguru-1513,8x8,64,13,4.923076923076923,3,12,0.026212496000425745,9,6,109,0,True,69,13,10,8,2,7
8x8_Suguru-1545,Suguru-1545,8x8,64,14,4.571428571428571,3,8,0.04790650300037669,17,10,165,4,True,110,18,6,17,10,4
8x8_Suguru-23,Suguru-23,8x8,64,14,4.571428571428571,3,11,0.060246730000017124,23,15,220,3,True,142,26,13,14,21,4
8x8_Suguru-43,Suguru-43,8x8,64,14,4.571428571428571,3,8,0.03269112399993901,13,9,146,2,True,99,20,14,7,6,0
8x8_Suguru-124,Suguru-124,8x8,64,14,4.571428571428571,3,8,0.026219123999908334,10,9,64,1,True,42,16,0,3,0,3
8x8_Suguru-182,Suguru-182,8x8,64,13,4.923076923076923,3,10,0.05728153600011865,18,10,197,3,True,129,20,24,15,5,4
8x8_Suguru-297,Suguru-297,8x8,64,14,4.571428571428571,3,10,0.02361160500004189,8,5,127,0,True,84,17,10,16,0,0
8x8_Suguru-319,Suguru-319,8x8,64,14,4.571428571428571,3,11,0.02741688600008274,9,5,122,1,True,91,16,0,10,5,0
8x8_Suguru-355,Suguru-355,8x8,64,13,4.923076923076923,3,11,0.33417801800032976,93,13,2034,49,True,1001,205,485,230,67,46
8x8_Suguru-387,Suguru-387,8x8,64,15,4.266666666666667,3,4,0.07675300500022786,37,18,238,8,True,158,20,40,19,1,0
8x8_Suguru-431,Suguru-431,8x8,64,14,4.571428571428571,3,8,0.03475160100015273,9,4,146,4,True,101,21,4,9,6,5
8x8_Suguru-466,Suguru-466,8x8,64,15,4.266666666666667,3,6,0.039964946000054624,9,4,248,2,True,141,39,16,15,37,0
8x8_Suguru-494,Suguru-494,8x8,64,15,4.266666666666667,3,9,0.054287786000259075,17,10,205,3,True,119,36,25,16,7,2
8x8_Suguru-515,Suguru-515,8x8,64,15,4.266666666666667,3,8,0.047756284000115556,16,8,193,4,True,136,25,3,17,8,4
8x8_Suguru-535,Suguru-535,8x8,64,14,4.571428571428571,3,10,0.015509845999986283,5,5,55,0,True,40,9,0,6,0,0
8x8_Suguru-541,Suguru-541,8x8,64,13,4.923076923076923,3,11,0.036958037999738735,15,12,88,1,True,61,10,14,0,0,3
8x8_Suguru-574,Suguru-574,8x8,64,14,4.571428571428571,3,14,0.022381936999863683,7,4,128,2,True,94,14,12,8,0,0
8x8_Suguru-580,Suguru-580,8x8,64,13,4.923076923076923,3,12,0.07302120899976217,21,9,287,5,True,190,38,27,17,9,6
8x8_Suguru-592,Suguru-592,8x8,64,14,4.571428571428571,3,8,0.5346263569999792,152,15,2525,97,True,1469,313,250,231,210,52
8x8_Suguru-616,Suguru-616,8x8,64,14,4.571428571428571,3,11,0.027855978999923536,9,7,103,0,True,67,20,7,8,0,1
8x8_Suguru-690,Suguru-690,8x8,64,13,4.923076923076923,3,9,0.03472941800009721,12,9,91,0,True,55,17,4,9,3,3
8x8_Suguru-762,Suguru-762,8x8,64,14,4.571428571428571,3,10,0.8209416330000749,262,13,3065,162,True,1930,323,376,272,146,18
8x8_Suguru-803,Suguru-803,8x8,64,14,4.571428571428571,3,10,0.04201663699996061,12,6,163,2,True,115,25,8,12,0,3
8x8_Suguru-946,Suguru-946,8x8,64,15,4.266666666666667,2,7,0.05698433699990346,21,15,185,3,True,116,22,13,10,18,6
8x8_Suguru-957,Suguru-957,8x8,64,13,4.923076923076923,3,13,0.010603426000216132,3,3,58,0,True,38,10,6,2,0,2
8x8_Suguru-1009,Suguru-1009,8x8,64,14,4.571428571428571,3,9,0.6222588189998532,187,15,2865,114,True,1810,311,283,333,121,7
8x8_Suguru-1034,Suguru-1034,8x8,64,14,4.571428571428571,3,11,0.19001377499989758,55,9,745,32,True,543,82,25,71,20,4
