,id,tabuleiro,size,numero_regioes,tamanho_medio_regiao,dicas,tempo,backtracks,resolvido,assign_from_singletons,hidden_single,naked_pairs,hidden_pairs,naked_triples,hidden_triples
8x8_Suguru-1366,Suguru-1366,8x8,64,13,4.923076923076923,11,0.020598548999259947,0,True,55,14,19,8,3,0
8x8_Suguru-1480,Suguru-1480,8x8,64,14,4.571428571428571,11,0.06362189799983753,10,True,116,23,25,22,1,8
8x8_Suguru-1508,Suguru-1508,8x8,64,14,4.571428571428571,6,0.041791925999859814,2,True,66,30,19,15,6,0
8x8_Suguru-1518,Suguru-1518,8x8,64,14,4.571428571428571,8,0.38026877700031037,47,True,562,70,39,33,59,5
8x8_Suguru-1548,Suguru-1548,8x8,64,15,4.266666666666667,7,0.0824941540013242,7,True,172,43,23,43,16,12
8x8_Suguru-1558,Suguru-1558,8x8,64,14,4.571428571428571,9,0.021463122000568546,0,True,56,14,17,6,0,0
8x8_Suguru-154,Suguru-154,8x8,64,13,4.923076923076923,13,0.2846229469978425,31,True,648,141,306,153,71,8
8x8_Suguru-253,Suguru-253,8x8,64,14,4.571428571428571,7,0.030359427000803407,0,True,52,17,12,6,0,0
8x8_Suguru-317,Suguru-317,8x8,64,15,4.266666666666667,6,0.05403817999831517,3,True,117,27,15,31,25,2
8x8_Suguru-347,Suguru-347,8x8,64,14,4.571428571428571,10,0.09268143400186091,8,True,247,66,24,54,35,25
8x8_Suguru-365,Suguru-365,8x8,64,15,4.266666666666667,10,0.03803078399869264,3,True,104,38,41,12,12,4
8x8_Suguru-372,Suguru-372,8x8,64,14,4.571428571428571,8,0.09739310200166074,9,True,399,110,75,76,26,9
8x8_Suguru-395,Suguru-395,8x8,64,14,4.571428571428571,10,0.04449831400052062,1,True,98,35,6,16,12,4
8x8_Suguru-414,Suguru-414,8x8,64,14,4.571428571428571,8,0.08853517700117663,8,True,532,103,68,109,16,9
8x8_Suguru-452,Suguru-452,8x8,64,15,4.266666666666667,6,0.03809465599988471,2,True,149,30,4,33,5,10
8x8_Suguru-475,Suguru-475,8x8,64,14,4.571428571428571,7,0.021038381000835216,0,True,33,13,21,4,3,0
8x8_Suguru-632,Suguru-632,8x8,64,13,4.923076923076923,11,0.034439426999597345,0,True,121,32,20,11,9,3
8x8_Suguru-657,Suguru-657,8x8,64,15,4.266666666666667,8,0.03570341700105928,1,True,102,31,20,20,13,1
8x8_Suguru-696,Suguru-696,8x8,64,14,4.571428571428571,9,0.025005293999129208,0,True,48,20,4,6,3,0
8x8_Suguru-747,Suguru-747,8x8,64,14,4.571428571428571,9,0.07066025400126819,4,True,176,60,22,40,26,0
8x8_Suguru-775,Suguru-775,8x8,64,13,4.923076923076923,10,0.034890597002231516,0,True,68,16,8,7,5,4
8x8_Suguru-791,Suguru-791,8x8,64,14,4.571428571428571,8,0.20168581300094957,16,True,610,182,64,153,24,48
8x8_Suguru-811,Suguru-811,8x8,64,14,4.571428571428571,10,0.04237454800022533,1,True,76,24,17,20,7,6
8x8_Suguru-876,Suguru-876,8x8,64,14,4.571428571428571,9,0.0451282709982479,2,True,104,30,33,18,5,6
8x8_Suguru-993,Suguru-993,8x8,64,14,4.571428571428571,9,0.10239453599933768,10,True,268,61,20,76,11,2
8x8_Suguru-1052,Suguru-1052,8x8,64,14,4.571428571428571,9,0.1472304279996024,12,True,575,111,75,133,48,14
8x8_Suguru-1068,Suguru-1068,8x8,64,14,4.571428571428571,11,0.05229166400022223,2,True,150,49,8,26,15,1
8x8_Suguru-1163,Suguru-1163,8x8,64,14,4.571428571428571,8,0.12722549099999014,12,True,418,81,27,83,20,2
8x8_Suguru-1214,Suguru-1214,8x8,64,13,4.923076923076923,10,0.042195963997073704,0,True,109,31,12,22,12,2
8x8_Suguru-1262,Suguru-1262,8x8,64,14,4.571428571428571,8,0.07776297900272766,4,True,244,90,110,76,40,9
8x8_Suguru-1310,Suguru-1310,8x8,64,15,4.266666666666667,6,0.028783238001778955,0,True,52,29,14,13,9,0
8x8_Suguru-1395,Suguru-1395,8x8,64,14,4.571428571428571,8,0.04897594499925617,3,True,107,31,26,12,8,3
8x8_Suguru-1402,Suguru-1402,8x8,64,13,4.923076923076923,9,0.055505907999759074,3,True,94,19,6,14,0,14
8x8_Suguru-1510,Suguru-1510,8x8,64,14,4.571428571428571,8,0.21355388399751973,21,True,735,153,155,241,68,29
8x8_Suguru-1511,Suguru-1511,8x8,64,14,4.571428571428571,9,0.2048195380011748,15,True,614,147,80,159,183,17
8x8_Suguru-1565,Suguru-1565,8x8,64,14,4.571428571428571,9,0.16847489000065252,14,True,659,181,177,165,153,81
